,International Bureau Filing System Database ,,,,,,,,,,,,,,,,,,,,,
City count,City,State,Callsign,Status Code,File Number,Name,FRN,Expiration Date,Grant Date,Sub-System,Filing State,County,Latitude Degrees,Latitude Minutes,Latitude Seconds,Latitude Direction,Longitude Degrees,Longitude Minutes,Longitude Seconds,Longitude Direction,Lower Frequency,Upper Frequency
1,ALBRIGHT,WV,KA413,ATPN,SESRWL2004060800805,AT&T Corp.,5937974,2019-07-11,2004-06-10,SES,1,PRESTON,39,34,7,N,79,34,45,W,3625,4200
2,ANDOVER,ME,E000306,ATPN,SESRWL2012041200361,"MCI Communications Services, Inc.",4335592,2027-04-17,2012-04-19,SES,1,OXFORD,44,38,1.2,N,70,41,51.3,W,3625,3700
,ANDOVER,ME,E000700,ATPN,SESMOD2002112502060,"MCI Communications Services, Inc.",4335592,2017-06-18,2009-02-04,SES,1,OXFORD,44,38,1.2,N,70,41,51.3,W,3625,4200
,ANDOVER,ME,KA349,ATPN,SESRWL2006042500718,"MCI Communications Services, Inc.",4335592,2021-06-03,2006-05-15,SES,1,OXFORD,44,37,58,N,70,41,54,W,3625,4200
,ANDOVER,ME,KA386,ATPN,SESRWL2003102101443,"MCI Communications Services, Inc.",4335592,2018-10-26,2003-10-23,SES,1,OXFORD,44,37,58.2,N,70,41,55.3,W,3625,4200
,ANDOVER,ME,WA20,ATPN,SESRWL2003091701297,"MCI Communications Services, Inc.",4335592,2018-09-17,2003-09-23,SES,1,OXFORD,44,38,0,N,70,41,55,W,3650,3700
,ANDOVER #6,ME,E930190,ATPN,SESRWL2003062400894,"MCI Communications Services, Inc.",4335592,2018-06-25,2003-06-27,SES,1,OXFORD,44,37,58.2,N,70,41,55.3,W,3625,3700
3,Brewster,WA,E140070,ATPN,SESLIC2014072100607,"Denali 20020, LLC",19416940,2029-11-13,2014-11-13,SES,1,OKANOGAN,48,8,55.2,N,119,42,1.9,W,3625,4200
,BREWSTER,WA,E960222,ATPN,SESRWL2006071001138,"Denali 20020, LLC",19416940,2021-07-19,2006-07-25,SES,1,OKANOGAN,48,8,51,N,119,41,29,W,3625,4200
,BREWSTER,WA,KA20,ATPN,SESMOD2004070200929,"Denali 20020, LLC",19416940,2017-12-08,2004-08-18,SES,1,OKANOGAN,48,8,49,N,119,41,28,W,3625,3700
,BREWSTER,WA,KA294,ATPN,SESMOD2009012800079,"Denali 20020, LLC",19416940,2018-08-23,2009-07-23,SES,1,OKANOGAN,48,8,50.5,N,119,41,33.2,W,3625,4200
,BRISTOW,VA,E000152,ATPN,SESMFS2013081400731,"SES Americom, Inc.",6383558,2025-09-18,2014-03-19,SES,1,PRINCE WILLIAM,38,47,1.6,N,77,34,24.3,W,3625,3700
4,Bristow,VA,E000696,ATPN,SESMFS2013060400470,"SES Americom, Inc.",6383558,2026-04-25,2014-03-14,SES,1,PRINCE WILLIAM,38,47,3.2,N,77,34,21.7,W,3600,3625
,Bristow,VA,E000696,ATPN,SESMFS2013060400470,"SES Americom, Inc.",6383558,2026-04-25,2014-03-14,SES,1,PRINCE WILLIAM,38,47,3.2,N,77,34,21.7,W,3625,3700
,Bristow,VA,E000696,ATPN,SESMFS2013060400470,"SES Americom, Inc.",6383558,2026-04-25,2014-03-14,SES,1,PRINCE WILLIAM,38,47,3.2,N,77,34,21.7,W,3625,4200
,BRISTOW,VA,E980076,ATPN,SESMFS2013081400732,"SES Americom, Inc.",6383558,2023-01-23,2014-03-18,SES,1,PRINCE WILLIAM,38,47,1,N,77,34,23,W,3625,3700
5,Carpentersville,NJ,E7541,A/C,SESLIC2008110301443,Lockheed Martin Corporation,2149359,2029-10-07,2014-10-07,SES,1,WARREN,40,38,39.1,N,75,11,27.8,W,3650,3700
,Carpentersville,NJ,E7541,A/C,SESLIC2008110301443,Lockheed Martin Corporation,2149359,2029-10-07,2014-10-07,SES,1,WARREN,40,38,41,N,75,11,28,W,3650,3700
6,CARTERET,NJ,E950200,ATPN,SESRWL2005110201687,All Mobile Video Inc,3475720,2020-12-15,2005-12-08,SES,1,MIDDLESEX,40,34,45.4,N,74,12,59.5,W,3650,4200
,CARTERET,NJ,E950361,ATPN,SESRWL2006013100187,All Mobile Video Inc,3475720,2021-01-19,2006-01-31,SES,1,MIDDLESEX,40,34,44.7,N,74,13,0.5,W,3650,4200
7,CATAWISSA,PA,E980493,ATPN,SESMOD2011072800866,AT&T Corp.,5937974,2026-05-29,2011-09-06,SES,1,COLUMBIA,40,53,39.3,N,76,26,19.8,W,3625,3700
8,ETAM #1,WV,WA21,ATPN,SESRWL2011040800421,AT&T Corp.,5937974,2026-06-30,2011-04-14,SES,1,PRESTON,39,16,48,N,79,44,14,W,3625,4200
,ETAM #2,WV,KA378,ATPN,SESRWL2011040800420,AT&T Corp.,5937974,2026-06-30,2011-04-14,SES,1,PRESTON,39,16,50,N,79,44,13,W,3625,4200
9,FRANKLIN,NJ,E6777,ATPN,SESRWL2009040600411,"Sprint Communications Co., LP",2529659,2024-06-21,2009-04-08,SES,1,SUSSEX,41,7,4,N,74,34,33,W,3625,4200
,FRANKLIN,NJ,KA231,ATPN,SESRWL2007041900487,"Sprint Communications Co., LP",2529659,2022-06-23,2007-04-23,SES,1,SUSSEX,41,7,4,N,74,34,33,W,3625,4200
10,HAGERSTOWN,MD,E000296,ATPN,SESMFS2011111801379,Intelsat License LLC,20538120,2025-08-09,2012-03-06,SES,1,WASHINGTON,39,35,54,N,77,45,35,W,3625,4200
,HAGERSTOWN,MD,E030101,ATPN,SESMOD2013042900347,Intelsat License LLC,20538120,2018-10-06,2013-06-20,SES,1,WASHINGTON,39,35,59.6,N,77,45,17.4,W,3625,3700
,HAGERSTOWN,MD,KA261,ATPN,SESMFS2011111801380,Intelsat License LLC,20538120,2024-03-31,2012-01-20,SES,1,WASHINGTON,39,35,57,N,77,45,22,W,3625,4200
,HAGERSTOWN,MD,KA262,ATPN,SESMFS2011012800070,Intelsat License LLC,20538120,2024-03-31,2011-04-06,SES,1,WASHINGTON,39,35,57,N,77,45,23,W,3625,3700
,HAGERSTOWN,MD,KA275,ATPN,SESMOD2014082500671,Intelsat License LLC,20538120,2024-03-31,2014-08-27,SES,1,WASHINGTON,39,35,55,N,77,45,35,W,3625,3700
,HAGERSTOWN,MD,E030071,ATPN,SESMOD2009060900715,Intelsat North America LLC,9308008,2018-08-22,2011-03-11,SES,1,WASHINGTON,39,35,57.9,N,77,45,17.3,W,3625,3700
,HAGERSTOWN,MD,E030082,ATPN,SESMOD2009060900714,Intelsat North America LLC,9308008,2018-08-19,2011-03-11,SES,1,WASHINGTON,39,35,57.9,N,77,45,21.4,W,3625,3700
,HAGERSTOWN,MD,E030100,ATPN,SESMOD2009060900718,Intelsat North America LLC,9308008,2018-10-06,2011-03-11,SES,1,WASHINGTON,39,35,59.6,N,77,45,21.4,W,3625,3700
,HAGERSTOWN,MD,E030103,ATPN,SESMOD2009060900717,Intelsat North America LLC,9308008,2018-10-06,2011-03-11,SES,1,WASHINGTON,39,35,59.1,N,77,45,18.4,W,3625,3700
,Hagerstown,MD,E100118,ATPN,SESLIC2010102901368,Intelsat North America LLC,9308008,2026-02-10,2011-02-10,SES,1,WASHINGTON,39,35,55,N,77,45,22,W,3625,4200
11,Haleiwa,HI,E080059,ATPN,SESMFS2014100300786,"Inmarsat Mobile Networks, Inc.",8262784,2023-12-18,2015-01-13,SES,1,,21,40,10.4,N,158,1,59.4,W,3600,3700
