Paragraph 212 of the 3.5 GHz Report and Order states:
"""...for purposes of the Citizens Broadband Radio Service, rural area will be defined as any census tract which is not located within, or overlapping: "
"(i) a city, town, or incorporated area that has a population of greater than 20,000 inhabitants; "
"or (ii) an urbanized area contiguous and adjacent to a city or town that has a population of greater than 50,000 inhabitants."""
""
The list below contains census tracts that meet this definition.
""
FIPS
01005950300
01005950900
01005950800
01005950700
01005950600
01005950100
01005950400
01005950200
01005950500
01027959000
01027959200
01027958900
01027959100
01091973300
01091973100
01091973000
01091973200
01091973400
01091972900
01069041800
01069041700
01127021200
01127020800
01127021400
01127021300
01127021000
01127020900
01127020700
01127020600
01127020400
01127020300
01127020200
01127020100
01127021600
01127021900
01127021800
01127021700
01127021500
01127021100
01077011604
01077011602
01077011300
01077011801
01077011700
01077011400
01103005701
01103005702
01103005405
01103005500
01103005600
01089010401
01089011400
01073011400
01073011500
01019955701
01019955702
01019956100
01019955800
01019956000
01019955900
01103005200
01035960300
01035960200
01035960600
01035960500
01035960400
01029959800
01029959700
01029959500
01029959600
01003011408
01003011601
01067030200
01067030100
01067030600
01067030300
01067030400
01003011407
01003011501
01003011502
01003010905
01003011101
01003011202
01003011102
01003990000
01003010906
01003010903
01003010904
01003011000
01003010100
01003011401
01003011300
01003011201
01003011403
01003010600
01003010500
01003010400
01003010300
01003010200
01041963500
01041963400
01041963700
01041963600
01041963900
01041963800
01007010002
01007010003
01047956202
01047956900
01007010001
01007010004
01083020202
01083020102
01083020401
01083020300
01047957100
01047957000
01013952800
01013953200
01013953100
01013952900
01013952700
01013953500
01013953400
01013953000
01013953300
01089010302
01059973600
01059973300
01059973200
01059973100
01059973000
01059972900
01059973500
01059973400
01059973700
01087231603
01087231601
01087231602
01087231700
01087231500
01087231900
01087232100
01087232000
01087231800
01087232200
01087231400
01087232300
01001020900
01001021000
01001021100
01095030401
01095030402
01095030202
01095030300
01095030100
01095030600
01095030201
01095031000
01095030500
01095031100
01039961600
01039962800
01039962700
01039962600
01039962500
01039962400
01039963000
01039962900
01039962300
01039962100
01039962000
01039961900
01039961800
01039961700
01121010302
01031010500
01031010400
01117030703
01117030102
01117030103
01121010400
01121010600
01121010201
01121010301
01121011800
01121011400
01121012000
01121010500
01121011000
01121011300
01121011200
01121011500
01121011700
01121011600
01121010900
01121010700
01121011100
01121011900
01117030704
01077011603
01077011802
01117030800
01117030701
01033020901
01021060700
01021060300
01021060500
01021060402
01021060401
01021060600
01021060200
01021060102
01021060101
01097007202
01033020703
01033020902
01033020704
01033020701
01033020600
01033020500
01107050200
01107050100
01107050300
01107050000
01107050400
01055010401
01055010602
01055011001
01055011002
01033020400
01033020300
01033020200
01033020100
01033020802
01033020801
01033021000
01123962200
01123961900
01123962000
01123962300
01123962501
01123962400
01123962502
01123962700
01123962600
01123962100
01055010300
01055011100
01055010501
01097006200
01097005800
01045020000
01131035200
01131034700
01131035100
01131034800
01061050500
01061050400
01061050300
01061050100
01061050200
01045020801
01045020802
01045020700
01045020500
01045020400
01045020300
01045020100
01045020200
01045021200
01045021102
01125010602
01119011400
01119011500
01119011300
01119011600
01079979100
01079979700
01079979800
01079979500
01079979200
01079979900
01079979400
01079979300
01125010303
01093964700
01093964400
01093964300
01093964100
01093964600
01093964500
01093964200
01093964000
01015981902
01015002600
01105687100
01105686800
01105687000
01015001400
01015002400
01015002103
01015002300
01015002502
01015002501
01015001300
01015002102
01015001800
01071950300
01071951100
01071950800
01071950900
01071950700
01071950600
01071950400
01071951000
01071950500
01071950100
01071950200
01051030800
01051030701
01051030702
01051030200
01051030600
01051030400
01051030500
01051030300
01049961400
01049960400
01049960300
01049960100
01049960200
01049960600
01049960500
01049961300
01049961200
01049961100
01049961000
01049960900
01049960800
01049960700
01015002200
01015002101
01097006000
01097005900
01129044100
01129043900
01129044200
01129044300
01129044000
01017953900
01017954400
01017954000
01017953800
01017954300
01017954700
01017954500
01017954600
01025957700
01025957601
01025958002
01025958001
01025957902
01025957800
01025957901
01025957500
01025957602
01017954200
01115040402
01115040401
01115040205
01115040204
01115040203
01115040201
01115040502
01115040300
01109189300
01109189000
01109189100
01109188600
01109189200
01109188900
01109188700
01109188800
01011952500
01011952100
01011952200
01085781100
01085781200
01085780800
01085781000
01063060100
01063060000
01063060200
01101005502
01101005504
01037961100
01037961200
01037961000
01031010200
01031010600
01031010100
01133965503
01133965501
01133965502
01133965900
01133965800
01099075700
01099076200
01009050601
01009050602
01009050102
01009050101
01009050200
01009050300
01009050400
01009050500
01133965700
01133965600
01099075800
01099076000
01099075900
01099076100
01099075600
01113031100
01113031200
01101005800
01101005700
01065040100
01065040300
01065040400
01065040200
01065040500
01065040000
01075030000
01075030100
01075030200
01031010700
01053970400
01053970300
01053969800
01023957000
01023956700
01023956900
01023956800
01053970200
01053970100
01053969900
01053970700
01053970600
01053970500
01043965402
01043965401
01043965200
01043964400
01043964300
01043964200
01043964600
01043964500
01111000300
01111000500
01111000600
01111000400
01111000200
01111000100
01057020300
01057020100
01057020000
01057020400
01057020200
01043965300
01043965100
01043965000
01043964900
01043964800
01043964700
01043965600
01043965700
01043965500
01043964100
02013000100
02016000200
02016000100
02240000100
02240000400
02270000100
02070000200
02070000100
02185000300
02185000100
02185000200
